order_id,customer_id,product_id,quantity,unit_price,order_date
O1001,C001,P101,2,499.99,2026-08-01
O1002,C002,P102,1,799.00,2026-08-01
O1003,C003,P103,3,249.50,2026-08-01
O1004,C004,P104,2,1299.00,2026-08-02
O1005,C005,P105,1,599.99,2026-08-02
O1006,C006,P106,4,149.00,2026-08-02
O1007,C007,P107,2,899.00,2026-08-03
O1008,C008,P108,1,1999.00,2026-08-03
O1009,C009,P109,3,349.99,2026-08-03
O1010,C010,P110,2,749.50,2026-08-04
O1011,C011,P101,1,499.99,2026-08-04
O1012,C012,P102,2,799.00,2026-08-04
O1013,C013,P103,4,249.50,2026-08-05
O1014,C014,P104,1,1299.00,2026-08-05
O1015,C015,P105,2,599.99,2026-08-05
O1016,C016,P106,3,149.00,2026-08-06
O1017,C017,P107,1,899.00,2026-08-06
O1018,C018,P108,2,1999.00,2026-08-06
O1019,C019,P109,2,349.99,2026-08-07
O1020,C020,P110,5,749.50,2026-08-07
O1021,C001,P101,2,499.99,2026-08-07
O1022,C002,P102,1,799.00,2026-08-08
O1023,C003,P103,3,249.50,2026-08-08
O1024,C004,P104,2,1299.00,2026-08-08
O1025,C005,P105,1,599.99,2026-08-09
O1026,C006,P106,4,149.00,2026-08-09
O1027,C007,P107,2,899.00,2026-08-09
O1028,C008,P108,1,1999.00,2026-08-10
O1029,C009,P109,3,349.99,2026-08-10
O1030,C010,P110,2,749.50,2026-08-10
O1031,C011,P101,1,499.99,2026-08-11
O1032,C012,P102,2,799.00,2026-08-11
O1033,C013,P103,4,249.50,2026-08-11
O1034,C014,P104,1,1299.00,2026-08-12
O1035,C015,P105,2,599.99,2026-08-12
O1036,C016,P106,3,149.00,2026-08-12
O1037,C017,P107,1,899.00,2026-08-13
O1038,C018,P108,2,1999.00,2026-08-13
O1039,C019,P109,2,349.99,2026-08-13
O1040,C020,P110,5,749.50,2026-08-13
O1041,C001,P101,2,499.99,2026-08-14
O1042,C002,P102,1,799.00,2026-08-14
O1043,,P103,3,249.50,2026-08-14
O1044,C004,P104,0,1299.00,2026-08-15
O1045,C005,P105,-1,599.99,2026-08-15
O1046,C006,P106,2,149.00,2026-08-15
O1047,C007,P107,1,899.00,2026-08-16
O1048,C008,P108,2,1999.00,2026-08-16
O1048,C008,P108,2,1999.00,2026-08-16
O1049,C009,,3,349.99,2026-08-17
O1050, C010 ,P110,2,749.50,2026-08-17
